year,city,season,area(hec),production(MT)
2009,Kurunegala,1,491,1695
2009,Kurunegala,2,384,3648
2010,Kurunegala,1,504,1715
2010,Kurunegala,2,414,3929
2011,Kurunegala,1,496,1587
2011,Kurunegala,2,396,3762
2012,Kurunegala,1,420,1344
2012,Kurunegala,2,272,2584
2013,Kurunegala,1,361,1179
2013,Kurunegala,2,396,3762
2014,Kurunegala,1,302,966
2014,Kurunegala,2,406,3857
2015,Kurunegala,1,337,1077
2015,Kurunegala,2,339,1433
2016,Kurunegala,1,301,2831
2016,Kurunegala,1,353,3123
2017,Kurunegala,1,251,2718
2017,Kurunegala,2,220,1919
2018,Kurunegala,1,302,966
2018,Kurunegala,2,215,2141
