name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility
Kurunegala,1/1/2009,31.1,17.9,25.5,31.1,17.9,25.8,17.4,62.95,20.5,52.4,1010.8,14.6,11.5
Kurunegala,1/2/2009,30.1,19.3,23.9,30.1,19.3,24.2,18.6,73.99,14.8,63.9,1011.8,10,11.6
Kurunegala,1/3/2009,31.1,14.9,25.7,31.4,14.9,26,17.4,62.65,18.4,106,1011.5,6.5,11.4
Kurunegala,1/4/2009,32.1,20.8,26.5,32.5,20.8,27.2,19.3,66.85,25.9,75.7,1010.7,15.2,11.3
Kurunegala,1/5/2009,31.1,20.2,27.3,33.8,20.2,28.6,20.2,66.39,24.1,173.6,1009.3,22.9,12.2
Kurunegala,1/6/2009,30.1,20.8,25.7,33.4,20.8,27,21,76.34,25.9,113.6,1010.3,49,11.4
Kurunegala,1/7/2009,30.1,21.2,26.2,33.4,21.2,27.7,21.7,76.92,16.6,140.6,1010.6,50.8,12.1
Kurunegala,1/8/2009,31.1,21.5,26.8,33.8,21.5,28.1,21.2,73.08,24.1,43.2,1012,61.1,11.9
Kurunegala,1/9/2009,28.1,20.4,25,31.4,20.4,25.3,22,84.21,22.3,41.7,1012.6,83.3,11.1
Kurunegala,1/10/2009,30.1,19.9,25.8,33.4,19.9,26.9,21.3,76.77,29.5,42.5,1011.9,63.1,12.3
Kurunegala,1/11/2009,33.1,20.6,26.8,33.5,20.6,27.1,19,65.84,20.5,43.8,1012.7,16.1,11.6
Kurunegala,1/12/2009,33.1,21.1,26.3,33.1,21.1,26.8,19.3,68.1,29.5,41.1,1013.8,10.3,11.7
Kurunegala,1/13/2009,32.1,20.9,26.5,34.3,20.9,27.3,20.2,70.17,35.3,51.5,1013.3,26,11.9
Kurunegala,1/14/2009,30.1,17.7,25.6,32.6,17.7,26.4,20.7,75.54,35.3,40,1013.3,35,12.1
Kurunegala,1/15/2009,33.1,20,27,33.5,20,27.5,18.7,64.31,27.7,51.7,1013.1,7.9,10.8
Kurunegala,1/16/2009,32.1,17.8,26.3,33,17.8,26.6,18.1,63.38,25.9,35.7,1014.6,10.1,11
Kurunegala,1/17/2009,32.1,18.3,25,32.5,18.3,25.4,18.9,70.86,25.9,38.3,1013,4.9,11.7
Kurunegala,1/18/2009,32.1,20.5,26.6,33,20.5,27.3,19.3,66.5,24.1,36.1,1011.2,15.5,11.4
Kurunegala,1/19/2009,33.1,21.1,26.6,33.1,21.1,26.8,18.7,65.51,24.1,35.8,1010.4,9.5,11.6
