name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility
Gampaha,1/1/2009,21.7,8.2,15.5,21.7,8.2,15.5,11.2,77.21,5.2,158.8,1011.2,28.7,19.1
Gampaha,1/2/2009,22.3,11.3,18.4,22.3,11.3,18.5,12.8,71.01,7.7,193.3,1012.2,24.4,20
Gampaha,1/3/2009,22.1,8.2,16.7,22.1,8.2,16.7,10.2,66.5,6.4,121.3,1011.7,40.4,19.9
Gampaha,1/4/2009,22.7,12.8,18.7,22.7,12.8,18.7,12.2,67.33,6,195.7,1011.3,56.6,20
Gampaha,1/5/2009,23.3,11.1,17.4,23.3,11.1,17.4,12.8,75.27,5.4,110.7,1009.7,45.5,19.2
Gampaha,1/6/2009,22,14.6,17.7,22,14.6,17.7,15.4,86.72,3.9,189.3,1010.6,70.1,16.9
Gampaha,1/7/2009,22.6,14.9,18.8,22.6,14.9,18.8,16.6,87.71,4.9,118,1011,70,20.3
Gampaha,1/8/2009,21.5,16.2,18.3,21.5,16.2,18.3,15.8,86.57,18.7,97.3,1012.1,81.6,16.1
Gampaha,1/9/2009,19.1,15.8,17.7,19.1,15.8,17.7,17.1,96.5,14.3,136.5,1012.6,99.4,8.8
Gampaha,1/10/2009,21.7,14,17.9,21.7,14,17.8,16,89,12.4,79.5,1012.2,78.1,15.4
Gampaha,1/11/2009,21.4,14.4,18.3,21.4,14.4,18.3,12.7,70.95,12.7,58.5,1013,38.2,20
Gampaha,1/12/2009,20.9,15.3,18.6,20.9,15.3,18.6,14.8,79.38,31.3,55,1013.7,56.5,17.2
Gampaha,1/13/2009,20,15.1,17.4,20,15.1,17.5,15.9,90.68,15.5,49.5,1013.5,90.9,11.4
Gampaha,1/14/2009,21.3,12.1,17.5,21.3,12.1,17.5,14.8,84.82,9.3,88.8,1013.4,47.6,18
Gampaha,1/15/2009,20,11.2,14.2,20,11.2,14.2,11.6,84.27,6.5,135,1013.4,22.3,18.4
Gampaha,1/16/2009,12.3,11.4,11.8,12.3,11.4,11.9,9.9,87.71,4.9,170,1014.1,17.1,16.8
Gampaha,1/17/2009,21.1,11.2,14.7,21.1,11.2,14.7,11.4,81.96,8.6,143.3,1012.8,34.2,20
Gampaha,1/18/2009,21.5,14.6,17.8,21.5,14.6,17.8,14.5,82.17,15.5,40,1011.5,31.6,19
Gampaha,1/19/2009,22.9,14.8,19.7,22.9,14.8,19.8,16.3,81.38,6.7,70,1010.8,42.8,18.5
Gampaha,1/20/2009,21.2,10.8,17.4,21.2,10.8,17.4,13.7,79.22,6.2,184.8,1011.1,56.9,17.6
Gampaha,1/21/2009,22.4,11.2,18,22.4,11.2,18,11.2,64.76,5.9,241.7,1011.7,27.6,20
Gampaha,1/22/2009,22.2,10.9,15.8,22.2,10.9,15.8,8.9,64.37,2.5,120,1010.6,30.5,20
Gampaha,1/23/2009,22.2,10.3,15.8,22.2,10.3,15.8,10.5,71.09,2.7,269.5,1009.5,23.3,20
Gampaha,1/24/2009,22.3,10.5,17,22.3,10.5,17,12.6,76.07,11.2,181.3,1009.4,41.9,19.9
Gampaha,1/25/2009,18.5,16.3,17.7,18.5,16.3,17.7,16.6,93.48,4.8,52.7,1010.5,97.1,9
Gampaha,1/26/2009,21.3,13.9,17.9,21.3,13.9,17.9,16.2,90.69,10.7,86.7,1010.1,51.8,16.7
Gampaha,1/27/2009,23.1,16.6,20.2,23.1,16.6,20.2,17.5,84.94,6.5,93.3,1010.8,87.2,12.2
Gampaha,1/28/2009,21.6,15.4,17.7,21.6,15.4,17.7,16.1,90.48,6.3,57.5,1010.8,35.6,16.6
Gampaha,1/29/2009,23.5,14.5,18.8,23.5,14.5,18.8,11,63.44,9.9,48.3,1010.9,40.4,18.1
Gampaha,1/30/2009,22.8,13.2,18.7,22.8,13.2,18.7,8.1,52.21,7.8,51.3,1010.8,38.9,20
Gampaha,1/31/2009,20.8,20.8,20.8,20.8,20.8,20.8,16.8,78.19,3,16,1009,38.4,19.8
Gampaha,2/1/2009,21.5,21.5,21.5,21.5,21.5,21.5,17.1,75.81,2.9,24,1010.3,50.8,20
Gampaha,2/2/2009,21.7,10.8,16.2,21.7,10.8,16.3,9.9,66.03,5.7,240.5,1011.5,27.7,19.7
Gampaha,2/3/2009,23.2,10.7,16.9,23.2,10.7,16.9,10.2,65.65,5.9,92.5,1012.5,15.1,17.7
Gampaha,2/4/2009,23.5,11.6,18.8,23.5,11.6,18.8,11,62.65,4.9,289,1012.6,30.4,19.8
Gampaha,2/5/2009,23,9.3,15.2,23,9.3,15.2,8.1,63.76,3.2,205.3,1013.1,9.9,19.2
Gampaha,2/6/2009,23.2,8.5,16.5,23.2,8.5,16.5,7.5,56.81,11.3,173.5,1011.6,21.7,18.2
Gampaha,2/7/2009,22.4,8.9,15.4,22.4,8.9,15.4,9.1,67.04,8.5,111,1011.5,19.3,19.5
Gampaha,2/8/2009,22.2,10.9,16.2,22.2,10.9,16.2,11.4,74.32,20.7,99.3,1012.6,27,19.5
Gampaha,2/9/2009,20.3,9.4,14.8,20.3,9.4,14.9,10.7,76.78,3.5,98.5,1012.3,52.1,19.6
Gampaha,2/10/2009,21.2,12.4,17,21.2,12.4,17,13.7,81.29,5.2,153.8,1012.1,66,19.2
Gampaha,2/11/2009,22.8,12.9,18.1,22.8,12.9,18.1,14.9,83.16,4.8,218.3,1011,52.9,19.2
Gampaha,2/12/2009,23.7,10.9,18.1,23.7,10.9,18.1,11.5,67.43,5.7,123,1011.2,40.7,16.8
Gampaha,2/13/2009,24.2,9.5,17.1,24.2,9.5,17.1,6,55.38,9.1,97,1010.7,31.2,19.6
Gampaha,2/14/2009,24.5,9.9,16.8,24.5,9.9,16.8,6.5,52.49,10.2,120.8,1009.9,13.2,19.4
Gampaha,2/15/2009,22.6,10.5,15.5,22.6,10.5,15.5,10.8,74.75,2.8,251.3,1009.4,6.3,19.7
Gampaha,2/16/2009,21.8,14.9,18.4,21.8,14.9,18.4,13.8,75.18,4.8,354,1009,43.9,20
Gampaha,2/17/2009,21.8,15.6,18.7,21.8,15.6,18.7,14.6,77.93,7.5,295.5,1008.9,47.3,19.7
Gampaha,2/18/2009,14,11.7,12.8,14,11.7,12.9,8.8,76.75,1.2,243,1009.9,8.5,19.8
Gampaha,2/19/2009,14.1,14.1,14.1,14.1,14.1,14.1,12.1,87.87,2.8,214,1008.4,49.1,20
Gampaha,2/20/2009,22.5,15.3,18.9,22.5,15.3,18.9,13.4,70.43,11.6,64.5,1009.4,19.7,19.9
Gampaha,2/21/2009,24.4,15.4,20.2,24.4,15.4,20.3,15.9,77.24,9.1,30.3,1009.2,60.6,19.7
Gampaha,2/22/2009,20.9,16.2,18.6,20.9,16.2,18.5,16.6,88.63,17,84,1008.3,41.6,17.9
Gampaha,2/23/2009,21.3,16.3,18.8,21.3,16.3,18.8,17.5,92.1,4.7,100,1008.6,56.4,16.3
Gampaha,2/24/2009,23.8,23.8,23.8,23.8,23.8,23.8,18.4,71.72,4.8,31,1008.1,63.5,19.7
Gampaha,2/25/2009,26.2,24.1,25.2,26.2,24.1,25.2,16.6,59.8,9.8,46,1008.5,28.2,20
Gampaha,2/26/2009,24.3,13.7,19,24.3,13.7,19,12.8,67.16,4.7,46,1008.7,20.2,20
Gampaha,2/27/2009,12.6,12.6,12.6,12.6,12.6,12.6,7.9,73.05,3.9,152,1009.7,0.4,19.3
Gampaha,2/28/2009,24,24,24,24,24,24,16.1,61.26,5.3,17,1007,56.2,20
Gampaha,3/1/2009,26.1,26.1,26.1,26.1,26.1,26.1,10.7,38,8.1,149,1009.3,3.1,20
Gampaha,3/2/2009,,,,,,,,,,,,,
Gampaha,3/3/2009,14,14,14,14,14,14,2.6,46.25,3.7,130,1010.8,0.8,20
