name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,cloudcover,visibility
Polonnaruwa,1/1/2016,28.1,25.1,26.2,32.2,25.1,27.2,23.7,85.86,10.3,50.1,60.8,19.4
Polonnaruwa,1/2/2016,27.2,24.4,25.6,30.5,24.4,26.3,23.2,86.8,9.1,88.6,78.5,19.2
Polonnaruwa,1/3/2016,29.5,24.2,26.5,33.9,24.2,28.1,23.3,83.09,7.7,67.5,43.5,19.9
Polonnaruwa,1/4/2016,29.3,24.6,26.7,33.9,24.6,28.4,23.5,83.03,8.8,41.3,50.2,19.9
Polonnaruwa,1/5/2016,29.0,25.0,26.7,34.4,25.0,28.5,24.2,86.32,7.4,48.1,61.1,20.0
Polonnaruwa,1/6/2016,27.0,24.5,25.2,30.3,24.5,25.7,23.5,90.46,8.0,43.0,81.7,18.3
Polonnaruwa,1/7/2016,28.4,25.1,26.5,32.3,25.1,27.8,23.0,81.65,9.5,49.3,66.5,19.4
Polonnaruwa,1/8/2016,28.9,24.9,26.1,32.3,24.9,26.8,22.4,79.99,8.7,110.4,50.6,19.9
Polonnaruwa,1/9/2016,29.2,25.2,26.5,32.4,25.2,27.4,22.1,77.35,6.0,36.8,37.7,19.9
Polonnaruwa,1/10/2016,29.6,24.4,26.5,33.1,24.4,27.8,22.7,79.86,8.2,113.5,47.8,20.0
Polonnaruwa,1/11/2016,29.3,24.7,26.6,32.7,24.7,27.7,22.0,76.16,8.5,88.6,30.9,19.9
Polonnaruwa,1/12/2016,27.3,24.3,25.4,29.4,24.3,25.8,21.3,78.3,7.0,47.7,12.2,20.0
Polonnaruwa,1/13/2016,28.8,22.5,25.9,31.5,22.5,26.9,20.9,74.57,7.7,78.1,48.7,19.9
Polonnaruwa,1/14/2016,28.4,22.7,25.3,30.3,22.7,25.9,20.6,75.74,8.4,75.3,45.4,19.8
Polonnaruwa,1/15/2016,28.3,21.0,24.8,30.3,21.0,25.5,20.6,78.37,5.5,89.8,39.1,20.0
Polonnaruwa,1/16/2016,30.0,24.3,27.0,32.8,24.3,28.5,21.9,74.35,5.6,29.7,34.4,20.0
Polonnaruwa,1/17/2016,29.3,22.1,25.7,31.9,22.1,26.6,21.3,77.56,7.2,146.1,27.8,19.8
Polonnaruwa,1/18/2016,29.7,21.4,25.5,32.2,21.4,26.4,20.9,76.67,5.6,72.8,15.5,20.0
Polonnaruwa,1/19/2016,30.6,22.9,26.4,33.8,22.9,27.6,21.9,77.23,6.3,98.5,17.0,20.0
Polonnaruwa,1/20/2016,30.8,23.4,26.8,34.8,23.4,28.1,22.4,77.94,6.6,129.8,21.4,19.9
Polonnaruwa,1/21/2016,30.8,24.8,27.3,34.7,24.8,28.7,22.7,76.68,6.5,51.5,31.8,20.1
Polonnaruwa,1/22/2016,30.5,24.3,27.1,34.1,24.3,28.4,22.6,77.38,6.6,51.1,41.3,19.8
Polonnaruwa,1/23/2016,28.9,24.8,26.2,33.9,24.8,27.3,23.8,86.68,8.8,79.3,68.8,18.5
Polonnaruwa,1/24/2016,27.5,24.6,25.7,31.3,24.6,26.6,23.6,88.53,7.4,96.4,84.9,19.1
Polonnaruwa,1/25/2016,30.0,25.1,27.0,35.1,25.1,28.7,23.5,81.63,8.0,48.0,58.6,20.0
Polonnaruwa,1/26/2016,30.6,25.1,27.2,34.1,25.1,28.7,22.4,75.82,7.8,50.5,26.0,20.0
Polonnaruwa,1/27/2016,30.0,23.6,26.1,32.1,23.6,26.9,20.8,73.54,8.3,149.6,18.6,20.0
Polonnaruwa,1/28/2016,31.0,20.2,25.6,33.2,20.2,26.5,20.8,76.17,7.8,106.6,23.7,20.0
Polonnaruwa,1/29/2016,29.8,21.4,25.4,32.0,21.4,26.1,20.5,75.56,8.9,150.6,41.7,20.0
Polonnaruwa,1/30/2016,29.6,22.0,25.7,31.6,22.0,26.4,20.6,73.97,8.8,142.0,48.5,20.0
Polonnaruwa,1/31/2016,29.5,23.9,26.4,32.5,23.9,27.4,21.6,75.22,7.7,119.1,59.2,19.9
Polonnaruwa,2/1/2016,29.7,24.4,26.6,32.5,24.4,27.6,21.3,73.22,9.2,49.5,45.0,20.0
Polonnaruwa,2/2/2016,29.5,23.6,26.3,31.7,23.6,27.0,20.8,72.36,8.9,38.1,49.4,19.9
Polonnaruwa,2/3/2016,30.0,24.2,26.2,31.7,24.2,26.7,20.0,69.51,8.9,64.3,30.6,20.0
Polonnaruwa,2/4/2016,29.8,21.2,25.7,32.3,21.2,26.6,20.6,74.48,9.2,91.9,43.2,20.0
Polonnaruwa,2/5/2016,29.2,24.0,26.3,32.1,24.0,27.4,21.8,76.66,9.1,37.6,56.8,19.9
Polonnaruwa,2/6/2016,30.4,24.6,27.1,33.8,24.6,28.6,22.3,75.52,8.4,53.5,55.5,19.8
Polonnaruwa,2/7/2016,30.9,23.9,27.1,36.4,23.9,29.1,23.3,80.46,7.3,123.9,65.5,19.1
Polonnaruwa,2/8/2016,31.1,25.2,27.5,35.8,25.2,29.6,23.6,79.9,6.9,44.3,47.4,20.0
Polonnaruwa,2/9/2016,31.6,24.9,27.7,36.8,24.9,29.9,23.9,80.86,6.2,78.4,50.3,19.6
Polonnaruwa,2/10/2016,30.7,24.3,27.1,34.8,24.3,28.7,23.5,81.78,6.8,100.0,60.1,18.9
Polonnaruwa,2/11/2016,31.0,23.5,26.8,33.7,23.5,27.8,21.9,76.15,6.2,107.8,43.6,19.5
Polonnaruwa,2/12/2016,31.2,22.8,26.5,32.4,22.8,26.9,20.1,70.31,7.4,87.0,23.9,19.7
Polonnaruwa,2/13/2016,30.8,21.1,26.1,33.2,21.1,26.9,20.5,73.08,7.6,121.3,28.9,19.7
Polonnaruwa,2/14/2016,31.3,23.1,27.1,34.0,23.1,28.5,21.9,74.4,6.0,62.4,25.7,19.9
Polonnaruwa,2/15/2016,29.8,24.8,27.2,35.0,24.8,29.3,23.6,81.18,8.4,94.9,56.9,19.6
Polonnaruwa,2/16/2016,30.2,25.3,27.0,33.0,25.3,28.0,22.5,77.18,9.1,43.8,60.7,19.9
Polonnaruwa,2/17/2016,29.0,25.4,26.6,34.0,25.4,28.1,24.0,85.73,9.9,48.0,78.9,19.5
Polonnaruwa,2/18/2016,29.6,25.3,27.5,35.7,25.3,30.6,24.3,82.73,11.9,56.9,52.3,19.8
Polonnaruwa,2/19/2016,31.6,25.3,28.0,37.8,25.3,31.0,24.1,79.97,8.3,75.0,40.2,19.9
Polonnaruwa,2/20/2016,31.1,25.2,27.5,36.6,25.2,29.8,23.8,80.8,6.2,130.9,41.6,19.9
Polonnaruwa,2/21/2016,31.9,24.3,28.0,36.5,24.3,30.5,23.5,77.6,6.7,86.7,34.0,19.9
Polonnaruwa,2/22/2016,32.3,24.8,27.4,35.8,24.8,28.9,22.1,73.82,7.0,89.3,25.1,19.4
Polonnaruwa,2/23/2016,31.8,22.8,26.9,33.7,22.8,27.7,20.6,69.79,5.3,97.0,16.0,19.9
Polonnaruwa,2/24/2016,31.6,22.3,27.4,36.7,22.3,30.0,23.0,78.07,5.4,127.9,31.8,20.0
Polonnaruwa,2/25/2016,30.9,25.8,27.9,37.3,25.8,31.0,24.4,81.55,7.1,95.5,57.8,20.0
Polonnaruwa,2/26/2016,32.1,25.3,28.2,36.7,25.3,31.0,23.2,75.06,10.9,84.1,40.9,20.0
Polonnaruwa,2/27/2016,30.7,25.0,27.8,36.0,25.0,30.4,23.7,79.01,9.3,75.3,43.5,20.2
