name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase
Polonnaruwa,1/1/2016,28.1,25.1,26.2,32.2,25.1,27.2,23.7,85.86,2.44,75,10.3,50.1,1013.9,60.8,19.4,0.72
Polonnaruwa,1/2/2016,27.2,24.4,25.6,30.5,24.4,26.3,23.2,86.8,4.24,87.5,9.1,88.6,1014.5,78.5,19.2,0.77
Polonnaruwa,1/3/2016,29.5,24.2,26.5,33.9,24.2,28.1,23.3,83.09,1.54,25,7.7,67.5,1013.9,43.5,19.9,0.81
Polonnaruwa,1/4/2016,29.3,24.6,26.7,33.9,24.6,28.4,23.5,83.03,0.12,12.5,8.8,41.3,1013.8,50.2,19.9,0.86
Polonnaruwa,1/5/2016,29,25,26.7,34.4,25,28.5,24.2,86.32,0.5,25,7.4,48.1,1012.9,61.1,20,0.9
Polonnaruwa,1/6/2016,27,24.5,25.2,30.3,24.5,25.7,23.5,90.46,67.67,100,8,43,1012.9,81.7,18.3,0.94
Polonnaruwa,1/7/2016,28.4,25.1,26.5,32.3,25.1,27.8,23,81.65,0.39,37.5,9.5,49.3,1013.9,66.5,19.4,0.97
Polonnaruwa,1/8/2016,28.9,24.9,26.1,32.3,24.9,26.8,22.4,79.99,0,0,8.7,110.4,1014.5,50.6,19.9,0.99
Polonnaruwa,1/9/2016,29.2,25.2,26.5,32.4,25.2,27.4,22.1,77.35,0,0,6,36.8,1012.5,37.7,19.9,1
Polonnaruwa,1/10/2016,29.6,24.4,26.5,33.1,24.4,27.8,22.7,79.86,0.3,12.5,8.2,113.5,1013.1,47.8,20,0
Polonnaruwa,1/11/2016,29.3,24.7,26.6,32.7,24.7,27.7,22,76.16,0.36,25,8.5,88.6,1013.5,30.9,19.9,0.01
Polonnaruwa,1/12/2016,27.3,24.3,25.4,29.4,24.3,25.8,21.3,78.3,0,0,7,47.7,1012.2,12.2,20,0.04
Polonnaruwa,1/13/2016,28.8,22.5,25.9,31.5,22.5,26.9,20.9,74.57,0,0,7.7,78.1,1011.8,48.7,19.9,0.07
