name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase
Ampara,2009-01-01,27.9,20,25.2,29.2,20,25.6,19.2,70.72,6.1,122.7,1011.1,26.4,20,0.11
Ampara,2009-01-02,28,25.7,27.1,29.7,25.7,28.2,20.3,66.41,7.8,22,1012.5,18.8,20,0.14
Ampara,2009-01-03,28.2,26.1,27.1,29.9,26.1,28.2,20.4,67.02,8.2,25,1012,31.4,20,0.2
Ampara,2009-01-04,28.4,22.6,25.8,31.3,22.6,26.7,21.9,79.79,10.2,87.3,1011.4,51.2,20,0.25
Ampara,2009-01-05,28.8,26.4,27.3,31.7,26.4,29.3,22.3,74.18,11.2,189.5,1010.2,68.7,20,0.31
Ampara,2009-01-06,26.9,22.2,24.2,29.2,22.2,25,22.3,89.17,4.3,15.5,1010.8,74,19.5,0.36
Ampara,2009-01-07,27.7,21.7,25.8,31.5,21.7,28.2,23.2,86.14,6.1,92.7,1011.7,70.3,19.4,0.41
Ampara,2009-01-08,26.9,23.7,25,29.6,23.7,25.8,23,88.83,6.7,182.8,1012.8,83.3,20,0.45
Ampara,2009-01-09,25.1,23.7,24.4,25.1,23.7,24.5,23.5,94.67,7.6,268,1013.2,100,19.2,0.48
Ampara,2009-01-10,27.3,23.4,25.9,30.6,23.4,26.7,22.9,84.18,18.4,38.3,1012.9,64.2,19.6,0.5
Ampara,2009-01-11,27.6,23.7,25.9,30.3,23.7,26.6,22,79.21,9.6,123.5,1013.6,31.1,20,0.5
Ampara,2009-01-12,28.4,25.7,27,31.5,25.7,28.9,22.8,78.03,14.8,153.3,1014.8,45.5,20,0.52
Ampara,2009-01-13,26.9,25.5,26.2,29.7,25.5,27,22.9,81.79,22.3,39.3,1014.3,65,18.8,0.54
Ampara,2009-01-14,28.4,24.4,26.6,31.2,24.4,27.8,22.6,79.41,16,56.3,1014.1,44.6,20,0.58
Ampara,2009-01-15,26.9,21.2,24.9,29.2,21.2,25.7,22.4,85.62,7.7,138.3,1014.4,26.5,20,0.62
Ampara,2009-01-16,27.1,23.1,25.1,29.4,23.1,26.3,22.2,84.29,13,185,1014.6,47.1,20,0.67
Ampara,2009-01-17,27.5,24.4,26.2,30.1,24.4,27.1,21.9,77.39,13,240.7,1013.6,41.8,20,0.72
Ampara,2009-01-18,28.3,23.7,26.4,31,23.7,28.2,21.8,76.21,13,38,1012.1,48.9,20,0.77
Ampara,2009-01-19,28,24,26.3,30.4,24,26.9,21.3,74.1,13.8,106,1011.4,33.9,20,0.82
Ampara,2009-01-20,27.8,24.2,26.3,30,24.2,27.3,21.2,73.96,12.2,109.5,1011.8,45.2,19.6,0.87
Ampara,2009-01-21,28,26.4,27.1,30.2,26.4,28.4,21.1,69.58,14.3,129.3,1012.6,40.2,20,0.91
Ampara,2009-01-22,28.2,22.1,25.7,29.8,22.1,26.2,20.7,75.29,10.9,224.7,1011.6,40.4,20,0.94
Ampara,2009-01-23,28.3,24.3,26.4,30.5,24.3,27.5,21.2,73.24,11.6,134.7,1010.1,39.1,20,0.97
Ampara,2009-01-24,27.8,22.7,25.9,30,22.7,26.4,21.3,76.61,10.9,27.7,1010.1,45.7,20,0.99
Ampara,2009-01-25,25.9,17.4,23,25.9,17.4,23.1,21.8,92.81,16.6,256.7,1010.6,80.5,16.7,1
Ampara,2009-01-27,28.6,26.2,27.4,32.5,26.2,29.9,24.1,82.31,7.7,51.5,1011.4,54.5,19.5,0.01
